iter	MAE
0	1.707758384
5	1.672102105
10	1.637737323
15	1.604570291
20	1.572674132
25	1.542171891
30	1.51276287
35	1.48451445
40	1.457503155
45	1.431506096
50	1.406613626
55	1.382797969
60	1.359850303
65	1.338065114
70	1.31739541
75	1.297460691
80	1.278392909
85	1.260170031
90	1.242854635
95	1.226381683
100	1.210881603
105	1.196110414
110	1.182208856
115	1.168797249
120	1.15612637
125	1.144292895
130	1.132795274
135	1.121827212
140	1.111474958
145	1.101511876
150	1.092089135
155	1.083238491
160	1.074981743
165	1.067221624
170	1.059890521
175	1.053020072
180	1.046435673
185	1.040481026
190	1.034824616
195	1.029560424
200	1.024659741
205	1.019922414
210	1.015615977
215	1.011406217
220	1.007404461
225	1.003695434
230	1.000313236
235	0.9970947456
240	0.9940078542
245	0.9911744343
250	0.9885158547
255	0.9860084439
260	0.9836170464
265	0.9814293167
270	0.9793161754
275	0.9772929737
280	0.9753974452
285	0.9735889853
290	0.9718364226
295	0.9701734481
300	0.9686078544
305	0.9671211849
310	0.9657182442
315	0.9643664549
320	0.9629506238
325	0.9617171328
330	0.9605186803
335	0.9593685079
340	0.958308451
345	0.9571861102
350	0.9560923625
355	0.9550827538
360	0.9541327338
365	0.9531343162
370	0.9522165807
375	0.9512884742
380	0.9505080211
385	0.9496361049
390	0.948866257
395	0.9480062938
400	0.9471959584
405	0.9464032594
410	0.945626732
415	0.9448942076
420	0.9441238324
425	0.9434507794
430	0.9427320829
435	0.9420110426
440	0.9413250407
445	0.9405756416
450	0.9398169849
455	0.9391872319
460	0.9385853689
465	0.9379035857
470	0.9372971525
475	0.9366695674
480	0.9360320215
485	0.9353864485
490	0.9347507776
495	0.934192156
500	0.933606113
505	0.9330323159
510	0.9324765653
515	0.9318640971
520	0.9313272719
525	0.9307985911
530	0.9302754179
535	0.9297488464
540	0.9292863752
545	0.9287647255
550	0.928234697
555	0.9278254865
560	0.9273623121
565	0.9269048799
570	0.926457174
575	0.9259867342
580	0.9255677972
585	0.9251067908
590	0.9246374057
595	0.9242123165
600	0.9237881649
605	0.9233989344
610	0.9229378108
615	0.922499011
620	0.9220309149
625	0.9216183645
630	0.9211398389
635	0.920704789
640	0.9203169062
645	0.9199311326
650	0.9195671555
655	0.9191885303
660	0.9187605115
665	0.9184271783
670	0.9181017552
675	0.9177596331
680	0.9173471413
685	0.9169802932
690	0.916609578
695	0.9162454251
700	0.9158961547
705	0.9155493453
710	0.9152480622
715	0.9148264886
720	0.9143938996
725	0.9140158017
730	0.9136607307
735	0.9133137454
740	0.9129971112
745	0.9125433116
750	0.9122947619
