iter	Passed	Remaining
0	17	43589
1	71	87250
2	124	101655
3	183	112523
4	212	104285
5	267	109332
6	293	102831
7	349	106829
8	405	110237
9	463	113407
10	523	116280
11	581	118438
12	641	120545
13	700	122168
14	757	123262
15	815	124410
16	875	125536
17	929	125860
18	984	126306
19	1041	126899
20	1100	127629
21	1138	125910
22	1197	126665
23	1257	127468
24	1317	128089
25	1377	128715
26	1430	128717
27	1488	129090
28	1552	129905
29	1612	130409
30	1671	130728
31	1729	131037
32	1787	131224
33	1845	131451
34	1903	131673
35	1962	131890
36	2020	132088
37	2080	132370
38	2138	132520
39	2176	131473
40	2234	131626
41	2295	131933
42	2322	130303
43	2382	130592
44	2440	130772
45	2500	131002
46	2555	130996
47	2615	131223
48	2673	131310
49	2730	131368
50	2785	131358
51	2845	131542
52	2904	131696
53	2961	131712
54	3020	131872
55	3077	131901
56	3139	132118
57	3195	132112
58	3253	132165
59	3314	132374
60	3371	132391
61	3397	131179
62	3459	131395
63	3516	131435
64	3574	131482
65	3633	131578
66	3691	131615
67	3727	130890
68	3785	130966
69	3846	131106
70	3883	130466
71	3919	129795
72	3977	129825
73	4037	129979
74	4099	130135
75	4157	130187
76	4218	130334
77	4257	129793
78	4315	129843
79	4374	129931
80	4431	129949
81	4489	129973
82	4525	129397
83	4588	129560
84	4649	129685
85	4709	129795
86	4769	129880
87	4827	129912
88	4887	129980
89	4947	130062
90	4984	129550
91	5046	129677
92	5106	129760
93	5168	129875
94	5233	130063
95	5292	130105
96	5351	130157
97	5410	130174
98	5468	130193
99	5525	130186
100	5552	129459
101	5608	129428
102	5668	129495
103	5726	129508
104	5785	129540
105	5844	129565
106	5903	129611
107	5960	129592
108	6023	129689
109	6078	129642
110	6139	129713
111	6194	129636
112	6251	129621
113	6306	129550
114	6365	129583
115	6426	129641
116	6462	129193
117	6521	129214
118	6580	129233
119	6641	129279
120	6704	129373
121	6726	128692
122	6783	128659
123	6836	128573
124	6872	128166
125	6928	128129
126	6989	128170
127	7042	128081
128	7098	128039
129	7158	128073
130	7211	127981
131	7270	128010
132	7333	128079
133	7389	128041
134	7451	128102
135	7506	128059
136	7563	128028
137	7622	128028
138	7682	128053
139	7739	128029
140	7797	128022
141	7854	127988
142	7910	127952
143	7972	128004
